policy_id,coverage_code,coverage_name,coverage_group,insured_amount,deductible_flag,rider_flag
P000001,P000001-CV1,골절진단비,자녀상해질병,50000000,N,N
P000001,P000001-CV2,통원치료비,자녀상해질병,50000000,Y,N
P000001,P000001-CV3,입원일당,자녀상해질병,500000000,N,N
P000001,P000001-RD1,입원일당확장,특약보강,5000000,N,Y
P000001,P000001-RD2,해외의료확장,특약보강,20000000,N,Y
P000002,P000002-CV1,건물화재,화재재산,100000000,Y,N
P000002,P000002-CV2,임시거주비,화재재산,500000000,Y,N
P000002,P000002-CV3,대물배상,화재재산,50000000,N,Y
P000002,P000002-RD1,치과보강특약,특약보강,20000000,N,Y
P000003,P000003-CV1,배상책임,여행자보장,30000000,N,N
P000003,P000003-CV2,해외의료비,여행자보장,100000000,N,N
P000003,P000003-CV3,항공기납치,여행자보장,100000000,Y,Y
P000003,P000003-RD1,치과보강특약,특약보강,5000000,N,Y
P000004,P000004-CV1,임시거주비,화재재산,50000000,N,N
P000004,P000004-CV2,도난손해,화재재산,30000000,N,N
P000004,P000004-CV3,대물배상,화재재산,10000000,N,N
P000004,P000004-RD1,해외의료확장,특약보강,5000000,N,Y
P000005,P000005-CV1,고도후유장해,사망보장,50000000,N,N
P000005,P000005-CV2,뇌출혈진단,사망보장,50000000,N,N
P000005,P000005-CV3,일반사망,사망보장,500000000,N,N
P000006,P000006-CV1,자기차량손해,자차손해,100000000,N,N
P000006,P000006-CV2,대인배상,자동차배상,100000000,N,N
P000006,P000006-CV3,대물배상,자동차배상,30000000,N,Y
P000006,P000006-RD1,암진단가산,특약보강,20000000,N,Y
P000007,P000007-CV1,최저보증이율,노후연금,500000000,N,N
P000007,P000007-CV2,연금개시,노후연금,10000000,N,N
P000007,P000007-CV3,조기해지환급금,노후연금,10000000,N,Y
P000007,P000007-RD1,운전자벌금,특약보강,10000000,N,Y
P000008,P000008-CV1,급여의료비,실손의료,10000000,N,N
P000008,P000008-CV2,통원의료비,실손의료,50000000,Y,N
P000008,P000008-CV3,입원의료비,실손의료,100000000,Y,N
P000008,P000008-RD1,입원일당확장,특약보강,20000000,N,Y
P000009,P000009-CV1,자기신체사고,자차손해,50000000,Y,N
P000009,P000009-CV2,대물배상,자동차배상,10000000,N,N
P000009,P000009-CV3,자기차량손해,자차손해,30000000,N,Y
P000010,P000010-CV1,해외의료비,여행자보장,500000000,N,N
P000010,P000010-CV2,휴대품손해,여행자보장,200000000,N,N
P000010,P000010-CV3,여행지연,여행자보장,100000000,Y,Y
P000010,P000010-RD1,입원일당확장,특약보강,10000000,N,Y
P000010,P000010-RD2,입원일당확장,특약보강,20000000,N,Y
P000011,P000011-CV1,배상책임,자녀상해질병,50000000,Y,N
P000011,P000011-CV2,통원치료비,자녀상해질병,10000000,N,N
P000011,P000011-CV3,골절진단비,자녀상해질병,30000000,Y,Y
P000011,P000011-RD1,치과보강특약,특약보강,20000000,N,Y
P000012,P000012-CV1,최저보증이율,노후연금,30000000,Y,N
P000012,P000012-CV2,노후소득보장,노후연금,100000000,N,N
P000012,P000012-CV3,연금개시,노후연금,100000000,N,Y
P000013,P000013-CV1,배상책임,여행자보장,200000000,Y,N
P000013,P000013-CV2,휴대품손해,여행자보장,500000000,Y,N
P000013,P000013-CV3,항공기납치,여행자보장,200000000,N,Y
P000014,P000014-CV1,대인배상,자동차배상,50000000,N,N
P000014,P000014-CV2,자기차량손해,자차손해,50000000,N,N
