policy_id,customer_id,product_code,product_name,insurer,category,status,start_date,monthly_premium,scenario_code
P000001,C00001,IR-CH-0134,이레생명 어린이프리미엄2,이레생명,어린이,정상유지,2022-02-08,76251,공백_배상
P000002,C00001,BD-FI-0169,백두손해 화재기본형2,백두손해,화재,정상유지,2021-07-24,22666,공백_사망
P000003,C00001,IR-TR-0149,이레생명 여행자프리미엄1,이레생명,여행자,정상유지,2024-05-06,14160,공백_배상
P000004,C00002,DA-FI-0085,다올화재 화재표준형3,다올화재,화재,정상유지,2021-10-07,27963,중복_실손
P000005,C00002,CU-WL-0036,청우손해 종신실속형2,청우손해,종신,정상유지,2024-12-15,257173,공백_배상
P000006,C00002,BD-AU-0155,백두손해 자동차프리미엄4,백두손해,자동차,정상유지,2023-08-10,112780,공백_사망
P000007,C00002,DA-PN-0079,다올화재 연금표준형1,다올화재,연금,정상유지,2024-05-26,168729,공백_사망
P000008,C00003,IR-HE-0139,이레생명 실손프리미엄4,이레생명,실손,정상유지,2024-10-16,44105,중복_실손
P000009,C00003,BD-AU-0154,백두손해 자동차표준형3,백두손해,자동차,정상유지,2024-10-11,79597,중복_자차
P000010,C00003,SS-TR-0107,삼산라이프 여행자프리미엄1,삼산라이프,여행자,정상유지,2024-12-03,4264,정상
P000011,C00004,IR-CH-0133,이레생명 어린이기본형1,이레생명,어린이,정상유지,2021-03-31,43283,공백_배상
P000012,C00004,DA-PN-0082,다올화재 연금기본형4,다올화재,연금,정상유지,2021-08-07,163670,중복_자차
P000013,C00004,SS-TR-0108,삼산라이프 여행자기본형2,삼산라이프,여행자,정상유지,2025-02-01,8902,공백_배상
P000014,C00004,SS-AU-0091,삼산라이프 자동차표준형3,삼산라이프,자동차,정상유지,2021-03-03,62331,중복_실손
P000015,C00004,DB-FI-0127,동백해상 화재실속형3,동백해상,화재,정상유지,2021-08-10,24592,중복_실손
P000016,C00005,IR-CH-0134,이레생명 어린이프리미엄2,이레생명,어린이,정상유지,2022-11-06,76251,공백_배상
P000017,C00005,HB-PN-0016,한빛생명 연금기본형4,한빛생명,연금,정상유지,2023-01-22,112831,공백_배상
P000018,C00005,GH-FI-0062,광화종합 화재실속형2,광화종합,화재,정상유지,2022-08-17,27780,정상
P000019,C00006,DB-FI-0127,동백해상 화재실속형3,동백해상,화재,정상유지,2022-04-17,24592,중복_자차
P000020,C00006,SS-PN-0103,삼산라이프 연금실속형2,삼산라이프,연금,정상유지,2025-05-03,318638,중복_실손
P000021,C00006,HB-TR-0022,한빛생명 여행자표준형2,한빛생명,여행자,정상유지,2023-08-30,9624,공백_배상
P000022,C00007,CU-FI-0042,청우손해 화재실속형2,청우손해,화재,정상유지,2021-11-01,26233,중복_자차
P000023,C00007,BD-TR-0171,백두손해 여행자기본형2,백두손해,여행자,정상유지,2021-11-03,3514,중복_자차
P000024,C00007,BD-PN-0166,백두손해 연금표준형1,백두손해,연금,정상유지,2023-12-24,307535,공백_배상
P000025,C00007,HB-AU-0003,한빛생명 자동차실속형3,한빛생명,자동차,정상유지,2023-03-21,83166,중복_자차
P000026,C00008,BD-WL-0164,백두손해 종신실속형3,백두손해,종신,정상유지,2024-11-21,185104,중복_실손
P000027,C00008,SS-AU-0090,삼산라이프 자동차표준형2,삼산라이프,자동차,정상유지,2024-04-04,65352,정상
P000028,C00008,GH-TR-0067,광화종합 여행자기본형4,광화종합,여행자,정상유지,2023-07-18,4935,중복_자차
P000029,C00009,CU-AU-0024,청우손해 자동차기본형1,청우손해,자동차,정상유지,2024-12-04,88046,정상
P000030,C00009,DB-FI-0125,동백해상 화재프리미엄1,동백해상,화재,정상유지,2023-06-05,9505,정상
P000031,C00009,BD-HE-0160,백두손해 실손표준형2,백두손해,실손,정상유지,2022-06-04,31324,공백_배상
P000032,C00009,IR-TR-0151,이레생명 여행자프리미엄3,이레생명,여행자,정상유지,2022-02-09,3665,정상
P000033,C00010,BD-PN-0167,백두손해 연금표준형2,백두손해,연금,정상유지,2024-03-12,326776,중복_실손
P000034,C00010,GH-FI-0061,광화종합 화재기본형1,광화종합,화재,정상유지,2022-07-02,24758,정상
P000035,C00010,HB-TR-0022,한빛생명 여행자표준형2,한빛생명,여행자,정상유지,2022-01-18,9624,공백_사망
P000036,C00010,DA-WL-0076,다올화재 종신기본형1,다올화재,종신,정상유지,2021-02-05,94669,정상
P000037,C00011,DA-PN-0082,다올화재 연금기본형4,다올화재,연금,정상유지,2021-03-19,163670,중복_실손
P000038,C00011,GH-HE-0050,광화종합 실손실속형1,광화종합,실손,정상유지,2024-02-03,15034,공백_사망
P000039,C00011,BD-WL-0164,백두손해 종신실속형3,백두손해,종신,정상유지,2023-07-10,185104,중복_자차
P000040,C00011,DB-CH-0113,동백해상 어린이기본형1,동백해상,어린이,정상유지,2024-09-23,52798,공백_사망
P000041,C00012,HB-AU-0003,한빛생명 자동차실속형3,한빛생명,자동차,정상유지,2021-02-27,83166,공백_사망
P000042,C00012,DA-WL-0076,다올화재 종신기본형1,다올화재,종신,정상유지,2021-07-03,94669,공백_배상
P000043,C00012,DB-HE-0117,동백해상 실손프리미엄2,동백해상,실손,정상유지,2022-10-04,43319,공백_사망
P000044,C00012,CU-PN-0040,청우손해 연금실속형2,청우손해,연금,정상유지,2022-08-16,238099,정상
P000045,C00013,DB-HE-0118,동백해상 실손프리미엄3,동백해상,실손,정상유지,2023-04-07,23145,중복_실손
P000046,C00013,HB-TR-0021,한빛생명 여행자기본형1,한빛생명,여행자,정상유지,2023-02-02,3749,공백_배상
P000047,C00013,DB-FI-0125,동백해상 화재프리미엄1,동백해상,화재,정상유지,2024-03-22,9505,정상
P000048,C00013,SS-AU-0089,삼산라이프 자동차실속형1,삼산라이프,자동차,정상유지,2021-07-07,81838,중복_자차
P000049,C00013,GH-PN-0060,광화종합 연금프리미엄4,광화종합,연금,정상유지,2022-01-05,156264,공백_사망
P000050,C00014,SS-HE-0095,삼산라이프 실손프리미엄1,삼산라이프,실손,정상유지,2021-09-03,48934,중복_실손
P000051,C00014,CU-CH-0030,청우손해 어린이프리미엄4,청우손해,어린이,정상유지,2025-04-13,60349,정상
P000052,C00014,DB-FI-0127,동백해상 화재실속형3,동백해상,화재,정상유지,2023-03-14,24592,공백_배상
P000053,C00014,HB-PN-0014,한빛생명 연금기본형2,한빛생명,연금,정상유지,2023-06-22,313790,중복_자차
P000054,C00015,BD-PN-0166,백두손해 연금표준형1,백두손해,연금,정상유지,2024-12-30,307535,중복_자차
P000055,C00015,IR-AU-0132,이레생명 자동차실속형3,이레생명,자동차,정상유지,2022-11-06,47562,중복_자차
P000056,C00015,CU-CH-0027,청우손해 어린이실속형1,청우손해,어린이,정상유지,2022-12-06,50615,공백_사망
P000057,C00015,GH-FI-0061,광화종합 화재기본형1,광화종합,화재,정상유지,2022-09-28,24758,중복_자차
P000058,C00015,BD-WL-0165,백두손해 종신프리미엄4,백두손해,종신,정상유지,2024-12-25,180675,공백_사망
P000059,C00016,HB-HE-0007,한빛생명 실손실속형1,한빛생명,실손,정상유지,2024-02-02,23783,중복_실손
P000060,C00016,DA-AU-0068,다올화재 자동차표준형1,다올화재,자동차,정상유지,2024-11-24,107516,중복_실손
P000061,C00016,GH-FI-0061,광화종합 화재기본형1,광화종합,화재,정상유지,2024-08-24,24758,정상
P000062,C00017,SS-HE-0095,삼산라이프 실손프리미엄1,삼산라이프,실손,정상유지,2021-03-07,48934,중복_실손
P000063,C00017,HB-AU-0002,한빛생명 자동차표준형2,한빛생명,자동차,정상유지,2021-02-22,66788,공백_사망
P000064,C00017,DB-CH-0114,동백해상 어린이기본형2,동백해상,어린이,정상유지,2024-02-08,80634,공백_사망
P000065,C00018,GH-FI-0063,광화종합 화재프리미엄3,광화종합,화재,정상유지,2021-08-07,23154,공백_배상
P000066,C00018,GH-HE-0053,광화종합 실손표준형4,광화종합,실손,정상유지,2021-12-10,27569,중복_자차
P000067,C00018,GH-PN-0060,광화종합 연금프리미엄4,광화종합,연금,정상유지,2023-12-23,156264,중복_실손
P000068,C00018,HB-WL-0010,한빛생명 종신표준형2,한빛생명,종신,정상유지,2025-03-07,207131,공백_배상
P000069,C00019,DA-PN-0081,다올화재 연금기본형3,다올화재,연금,정상유지,2022-02-23,198291,정상
P000070,C00019,HB-CH-0005,한빛생명 어린이기본형2,한빛생명,어린이,정상유지,2025-02-05,66973,정상
P000071,C00019,BD-AU-0154,백두손해 자동차표준형3,백두손해,자동차,정상유지,2022-06-17,79597,정상
P000072,C00019,DA-HE-0074,다올화재 실손프리미엄2,다올화재,실손,정상유지,2024-11-30,56519,정상
P000073,C00020,CU-HE-0033,청우손해 실손실속형3,청우손해,실손,정상유지,2023-12-20,27026,공백_사망
P000074,C00020,SS-AU-0089,삼산라이프 자동차실속형1,삼산라이프,자동차,정상유지,2023-10-10,81838,공백_사망
P000075,C00020,DB-FI-0125,동백해상 화재프리미엄1,동백해상,화재,정상유지,2023-01-11,9505,공백_배상
P000076,C00020,BD-TR-0171,백두손해 여행자기본형2,백두손해,여행자,정상유지,2023-08-30,3514,중복_자차
P000077,C00021,IR-HE-0136,이레생명 실손프리미엄1,이레생명,실손,정상유지,2023-12-06,41562,정상
P000078,C00021,SS-WL-0101,삼산라이프 종신기본형4,삼산라이프,종신,정상유지,2024-10-11,191611,공백_사망
P000079,C00021,GH-TR-0067,광화종합 여행자기본형4,광화종합,여행자,정상유지,2023-07-07,4935,중복_자차
P000080,C00021,DA-FI-0086,다올화재 화재표준형4,다올화재,화재,정상유지,2022-06-07,8133,중복_자차
P000081,C00022,SS-PN-0103,삼산라이프 연금실속형2,삼산라이프,연금,정상유지,2022-03-29,318638,공백_배상
P000082,C00022,SS-AU-0090,삼산라이프 자동차표준형2,삼산라이프,자동차,정상유지,2024-07-25,65352,중복_자차
P000083,C00022,IR-WL-0140,이레생명 종신실속형1,이레생명,종신,정상유지,2022-07-16,139246,공백_배상
P000084,C00022,SS-TR-0108,삼산라이프 여행자기본형2,삼산라이프,여행자,정상유지,2022-06-09,8902,중복_실손
P000085,C00022,IR-HE-0137,이레생명 실손표준형2,이레생명,실손,정상유지,2021-08-26,57903,중복_실손
P000086,C00023,CU-AU-0026,청우손해 자동차실속형3,청우손해,자동차,정상유지,2023-05-23,116341,공백_배상
P000087,C00023,GH-TR-0066,광화종합 여행자기본형3,광화종합,여행자,정상유지,2024-10-24,14775,중복_자차
P000088,C00023,BD-WL-0162,백두손해 종신기본형1,백두손해,종신,정상유지,2023-08-11,205799,중복_자차
P000089,C00024,SS-PN-0103,삼산라이프 연금실속형2,삼산라이프,연금,정상유지,2021-09-22,318638,중복_실손
P000090,C00024,CU-WL-0038,청우손해 종신기본형4,청우손해,종신,정상유지,2021-11-04,204656,공백_사망
P000091,C00024,IR-AU-0130,이레생명 자동차기본형1,이레생명,자동차,정상유지,2021-08-11,58565,중복_실손
P000092,C00024,GH-HE-0052,광화종합 실손표준형3,광화종합,실손,정상유지,2025-01-27,44028,중복_실손
P000093,C00024,CU-FI-0041,청우손해 화재기본형1,청우손해,화재,정상유지,2023-08-28,10125,공백_배상
P000094,C00025,HB-HE-0008,한빛생명 실손실속형2,한빛생명,실손,정상유지,2025-03-25,40737,공백_사망
P000095,C00025,IR-PN-0145,이레생명 연금실속형3,이레생명,연금,정상유지,2021-11-16,364662,정상
P000096,C00025,DA-WL-0078,다올화재 종신기본형3,다올화재,종신,정상유지,2021-10-04,164870,중복_자차
P000097,C00025,DB-CH-0114,동백해상 어린이기본형2,동백해상,어린이,정상유지,2022-07-28,80634,중복_자차
P000098,C00025,BD-AU-0155,백두손해 자동차프리미엄4,백두손해,자동차,정상유지,2021-12-14,112780,정상
P000099,C00026,SS-TR-0107,삼산라이프 여행자프리미엄1,삼산라이프,여행자,정상유지,2023-09-28,4264,공백_사망
P000100,C00026,GH-WL-0055,광화종합 종신프리미엄2,광화종합,종신,정상유지,2025-05-10,165517,중복_자차
P000101,C00026,DB-AU-0111,동백해상 자동차기본형1,동백해상,자동차,정상유지,2022-12-22,93623,공백_사망
P000102,C00026,BD-HE-0160,백두손해 실손표준형2,백두손해,실손,정상유지,2024-03-05,31324,중복_실손
P000103,C00027,IR-WL-0141,이레생명 종신프리미엄2,이레생명,종신,정상유지,2021-06-04,83800,공백_사망
P000104,C00027,SS-PN-0103,삼산라이프 연금실속형2,삼산라이프,연금,정상유지,2025-01-02,318638,정상
P000105,C00027,GH-CH-0048,광화종합 어린이표준형1,광화종합,어린이,정상유지,2022-11-09,67282,중복_실손
P000106,C00027,HB-TR-0021,한빛생명 여행자기본형1,한빛생명,여행자,정상유지,2024-04-17,3749,중복_자차
P000107,C00027,CU-HE-0033,청우손해 실손실속형3,청우손해,실손,정상유지,2022-06-21,27026,중복_실손
P000108,C00028,DB-AU-0111,동백해상 자동차기본형1,동백해상,자동차,정상유지,2023-12-13,93623,중복_자차
P000109,C00028,SS-TR-0108,삼산라이프 여행자기본형2,삼산라이프,여행자,정상유지,2021-05-20,8902,공백_배상
P000110,C00028,GH-HE-0050,광화종합 실손실속형1,광화종합,실손,정상유지,2022-06-17,15034,중복_실손
P000111,C00029,DA-WL-0076,다올화재 종신기본형1,다올화재,종신,정상유지,2023-02-20,94669,중복_자차
P000112,C00029,GH-TR-0065,광화종합 여행자기본형2,광화종합,여행자,정상유지,2023-03-11,8698,중복_실손
P000113,C00030,HB-WL-0010,한빛생명 종신표준형2,한빛생명,종신,정상유지,2022-11-23,207131,공백_사망
P000114,C00030,CU-TR-0043,청우손해 여행자실속형1,청우손해,여행자,정상유지,2024-09-16,13209,중복_실손
P000115,C00031,DB-AU-0111,동백해상 자동차기본형1,동백해상,자동차,정상유지,2022-10-24,93623,정상
P000116,C00031,HB-PN-0015,한빛생명 연금실속형3,한빛생명,연금,정상유지,2024-03-07,126223,중복_자차
P000117,C00031,GH-HE-0053,광화종합 실손표준형4,광화종합,실손,정상유지,2021-06-15,27569,정상
P000118,C00032,SS-HE-0096,삼산라이프 실손실속형2,삼산라이프,실손,정상유지,2024-03-27,23518,공백_사망
P000119,C00032,DB-FI-0126,동백해상 화재프리미엄2,동백해상,화재,정상유지,2025-02-20,22225,공백_배상
P000120,C00032,DB-WL-0120,동백해상 종신표준형1,동백해상,종신,정상유지,2024-07-17,82609,중복_자차
P000121,C00033,GH-AU-0047,광화종합 자동차기본형2,광화종합,자동차,정상유지,2021-07-25,117678,공백_사망
P000122,C00033,DB-WL-0122,동백해상 종신기본형3,동백해상,종신,정상유지,2023-10-05,154997,중복_자차
P000123,C00033,IR-TR-0149,이레생명 여행자프리미엄1,이레생명,여행자,정상유지,2023-05-09,14160,공백_배상
P000124,C00033,DA-CH-0070,다올화재 어린이표준형1,다올화재,어린이,정상유지,2022-03-14,56748,공백_배상
P000125,C00034,SS-TR-0108,삼산라이프 여행자기본형2,삼산라이프,여행자,정상유지,2021-08-22,8902,공백_사망
P000126,C00034,HB-PN-0014,한빛생명 연금기본형2,한빛생명,연금,정상유지,2021-08-06,313790,중복_실손
P000127,C00035,BD-FI-0169,백두손해 화재기본형2,백두손해,화재,정상유지,2022-11-29,22666,중복_실손
P000128,C00035,DB-TR-0128,동백해상 여행자실속형1,동백해상,여행자,정상유지,2024-02-06,8326,정상
P000129,C00035,DB-AU-0111,동백해상 자동차기본형1,동백해상,자동차,정상유지,2021-05-23,93623,공백_배상
P000130,C00035,DA-HE-0075,다올화재 실손프리미엄3,다올화재,실손,정상유지,2023-04-08,34611,공백_사망
P000131,C00035,DB-WL-0122,동백해상 종신기본형3,동백해상,종신,정상유지,2023-02-13,154997,중복_실손
P000132,C00036,DA-PN-0082,다올화재 연금기본형4,다올화재,연금,정상유지,2022-10-05,163670,중복_자차
P000133,C00036,BD-HE-0159,백두손해 실손기본형1,백두손해,실손,정상유지,2021-07-13,24791,중복_자차
P000134,C00037,DA-TR-0088,다올화재 여행자프리미엄2,다올화재,여행자,정상유지,2021-08-24,6550,정상
P000135,C00037,CU-FI-0042,청우손해 화재실속형2,청우손해,화재,정상유지,2021-05-19,26233,중복_실손
P000136,C00038,CU-AU-0024,청우손해 자동차기본형1,청우손해,자동차,정상유지,2023-10-11,88046,공백_배상
P000137,C00038,SS-HE-0097,삼산라이프 실손프리미엄3,삼산라이프,실손,정상유지,2022-11-04,36287,중복_실손
P000138,C00039,DA-WL-0078,다올화재 종신기본형3,다올화재,종신,정상유지,2023-03-22,164870,공백_사망
P000139,C00039,DA-TR-0088,다올화재 여행자프리미엄2,다올화재,여행자,정상유지,2023-04-14,6550,중복_실손
P000140,C00040,CU-WL-0037,청우손해 종신프리미엄3,청우손해,종신,정상유지,2021-03-01,93148,정상
P000141,C00040,CU-FI-0041,청우손해 화재기본형1,청우손해,화재,정상유지,2023-10-19,10125,공백_사망
P000142,C00040,CU-HE-0033,청우손해 실손실속형3,청우손해,실손,정상유지,2023-08-03,27026,중복_실손
P000143,C00040,SS-CH-0094,삼산라이프 어린이실속형2,삼산라이프,어린이,정상유지,2021-05-25,64465,정상
P000144,C00040,GH-PN-0059,광화종합 연금기본형3,광화종합,연금,정상유지,2025-03-04,208430,공백_사망
P000145,C00041,IR-PN-0145,이레생명 연금실속형3,이레생명,연금,정상유지,2022-05-16,364662,공백_배상
P000146,C00041,CU-HE-0034,청우손해 실손기본형4,청우손해,실손,정상유지,2023-02-22,33902,정상
P000147,C00041,GH-CH-0049,광화종합 어린이실속형2,광화종합,어린이,정상유지,2025-04-24,63321,공백_사망
P000148,C00042,CU-HE-0034,청우손해 실손기본형4,청우손해,실손,정상유지,2022-10-07,33902,정상
P000149,C00042,SS-PN-0103,삼산라이프 연금실속형2,삼산라이프,연금,정상유지,2024-06-21,318638,중복_자차
