tx_id,customer_id,product_id,tx_date,tx_type,units,nav_at_tx,amount_won,channel
TX0000001,C00428,INV-연금-0078,2025-09-08,BUY,279,1447.18,40376322,HTS
TX0000002,C00696,INV-펀드-0074,2025-11-27,BUY,25,1137.98,2844950,HTS
TX0000003,C00387,INV-변액-0096,2025-03-10,SELL,267,1135.05,30305834,MTS
TX0000004,C00255,INV-연금-0053,2024-07-26,SELL,371,1289.48,47839708,로보어드바이저
TX0000005,C01074,INV-펀드-0024,2024-04-01,BUY,45,1178.59,5303655,로보어드바이저
TX0000006,C00105,INV-변액-0088,2024-06-21,SELL,28,1349.34,3778151,대면
TX0000007,C01129,INV-ET-0092,2024-01-07,BUY,28,1468.08,4110624,대면
TX0000008,C01344,INV-펀드-0057,2024-11-03,SELL,306,981.16,30023495,HTS
TX0000009,C00436,INV-연금-0055,2025-05-28,BUY,428,1147.79,49125412,HTS
TX0000010,C00067,INV-ET-0008,2025-08-18,BUY,39,1448.52,5649228,대면
TX0000011,C00994,INV-펀드-0039,2024-10-26,BUY,300,1480.78,44423400,대면
TX0000012,C01447,INV-펀드-0062,2025-07-06,SELL,432,1282.12,55387584,HTS
TX0000013,C00605,INV-연금-0028,2024-06-24,BUY,472,1266.44,59775968,MTS
TX0000014,C00870,INV-변액-0029,2024-06-01,BUY,284,1313.53,37304252,로보어드바이저
TX0000015,C00614,INV-연금-0016,2024-04-15,BUY,441,1198.12,52837091,MTS
TX0000016,C01150,INV-ET-0051,2024-06-12,BUY,151,1420.44,21448644,대면
TX0000017,C00234,INV-ET-0071,2024-06-14,BUY,20,1426.6,2853200,HTS
TX0000018,C01309,INV-ET-0079,2025-12-01,BUY,37,1435.44,5311128,HTS
TX0000019,C00459,INV-ET-0022,2024-02-12,SELL,373,998.75,37253375,HTS
TX0000020,C00264,INV-펀드-0012,2025-08-06,SELL,184,1177.47,21665448,로보어드바이저
TX0000021,C01160,INV-ET-0031,2024-09-11,BUY,344,1294.94,44545936,대면
TX0000022,C01319,INV-연금-0078,2024-12-04,SELL,14,1443.9,2021460,MTS
TX0000023,C00341,INV-펀드-0024,2024-04-21,BUY,49,1562.87,7658062,대면
TX0000024,C00106,INV-펀드-0074,2024-03-21,SELL,157,1112.95,17473315,로보어드바이저
TX0000025,C00101,INV-ET-0030,2025-11-01,BUY,198,1097.08,21722184,로보어드바이저
TX0000026,C01433,INV-ET-0045,2025-12-11,BUY,337,980.53,33043861,HTS
TX0000027,C01286,INV-ET-0043,2024-11-01,BUY,75,1615.24,12114300,HTS
TX0000028,C00407,INV-펀드-0074,2025-07-07,SELL,21,1352.19,2839599,로보어드바이저
TX0000029,C01134,INV-펀드-0035,2024-08-14,SELL,192,1346.35,25849920,HTS
TX0000030,C00697,INV-ET-0092,2025-07-03,SELL,81,1746.06,14143085,MTS
TX0000031,C00758,INV-ET-0091,2024-01-21,SELL,76,1121.9,8526440,로보어드바이저
TX0000032,C01154,INV-연금-0060,2024-05-21,BUY,346,1414.2,48931320,MTS
TX0000033,C01036,INV-펀드-0044,2025-12-07,BUY,36,1425.86,5133096,대면
TX0000034,C00377,INV-펀드-0098,2025-07-09,BUY,302,1241.44,37491488,대면
TX0000035,C00462,INV-변액-0013,2024-07-31,SELL,268,955.89,25617852,MTS
TX0000036,C00453,INV-ET-0003,2024-03-27,SELL,401,1055.18,42312718,HTS
TX0000037,C01158,INV-펀드-0040,2024-10-28,BUY,219,1261.45,27625755,로보어드바이저
TX0000038,C00138,INV-펀드-0061,2024-01-21,SELL,216,1049.28,22664448,MTS
