customer_id,product_id,units,avg_cost_nav,opened_date,auto_invest_flag
C00001,INV-ET-0079,369,1273.45,2024-01-17,N
C00003,INV-펀드-0083,2769,1312.26,2023-09-12,N
C00003,INV-연금-0032,2882,1039.79,2024-07-18,Y
C00003,INV-ET-0076,2686,1324.55,2024-09-13,Y
C00003,INV-펀드-0011,2499,1297.92,2024-05-04,Y
C00003,INV-ET-0090,2996,1093.6,2024-01-05,N
C00005,INV-연금-0097,1921,1295.68,2024-12-18,N
C00005,INV-펀드-0039,1544,1145.66,2023-02-17,Y
C00005,INV-연금-0019,1827,1301.81,2024-10-16,N
C00005,INV-펀드-0011,1231,1093.47,2023-05-21,Y
C00007,INV-변액-0049,2272,1147.72,2024-01-29,Y
C00007,INV-연금-0014,2602,1315.46,2025-04-14,N
C00007,INV-ET-0099,398,1208.14,2025-03-04,N
C00008,INV-펀드-0062,1190,1354.73,2024-10-05,Y
C00010,INV-ET-0092,1901,1371.98,2024-04-14,N
C00010,INV-연금-0060,150,1298.3,2025-06-08,N
C00010,INV-변액-0010,799,1326.52,2023-02-21,N
C00011,INV-연금-0078,525,1567.61,2024-02-25,N
C00011,INV-변액-0084,1238,1095.39,2023-01-24,Y
C00011,INV-변액-0013,351,938.19,2024-05-26,N
C00012,INV-연금-0028,2820,1051.16,2023-07-07,N
C00012,INV-연금-0041,1917,1290.19,2024-01-15,N
C00012,INV-연금-0095,655,1405.23,2023-08-29,N
C00014,INV-연금-0060,428,1412.52,2024-09-19,N
C00014,INV-연금-0094,2260,1177.04,2024-03-12,N
C00015,INV-연금-0021,1464,1268.52,2024-12-12,Y
C00015,INV-펀드-0056,2949,1084.88,2023-04-15,N
C00015,INV-연금-0001,673,1284.05,2024-11-30,N
C00015,INV-변액-0029,124,1168.63,2024-02-11,N
C00015,INV-펀드-0047,1573,1579.81,2024-11-24,N
C00016,INV-연금-0004,334,897.18,2023-10-09,N
C00016,INV-연금-0066,103,1120.26,2024-12-22,Y
C00016,INV-연금-0085,2341,1238.09,2023-11-22,N
C00017,INV-연금-0089,1636,1033.28,2023-10-06,Y
C00017,INV-펀드-0082,2134,1349.11,2024-09-20,Y
C00017,INV-펀드-0067,1298,1395.62,2024-05-30,Y
C00021,INV-펀드-0012,1677,1127.14,2023-05-24,N
C00023,INV-연금-0060,2076,1385.72,2025-05-26,N
C00023,INV-ET-0092,2057,1318.82,2024-09-06,Y
C00023,INV-펀드-0040,2885,1262.76,2024-12-26,N
C00023,INV-연금-0048,1321,994.26,2024-12-22,N
C00024,INV-ET-0031,2506,1432.37,2023-03-26,N
C00024,INV-ET-0003,1593,1108.14,2023-06-29,N
C00024,INV-연금-0041,2140,1133.54,2023-01-12,N
C00024,INV-ET-0100,2625,1227.26,2023-10-29,Y
C00024,INV-연금-0021,2316,1196.84,2024-01-06,N
C00025,INV-ET-0092,2371,1394.92,2024-10-24,Y
