customer_id,age,gender,occupation,family_structure,income_band,residence_region,driver_status,persona_cluster,child_count,homeowner_flag,priority_need_1,priority_need_2,needs_tags
C00001,68,남성,자영업,외벌이자녀2,300만원 이하,대구,비운전,자영업중장년,2,N,자차손해,치과,해외여행|수술비|뇌혈관|자차손해
C00002,71,남성,생산직,맞벌이자녀1,800-1200만원,강원,자가운전,사회초년생,1,N,치과,심혈관,수술비|자차손해|해외여행|자녀상해
C00003,72,여성,전문직,3세대가구,500-800만원,광주,자가운전,안정형시니어,2,N,어린이성장,사망보장,사망보장|재산보장
C00004,47,남성,프리랜서,편부모가정,1200만원 이상,경기 남부,자가운전,자영업중장년,1,N,수술비,치과,치과|자동차배상
C00005,32,여성,프리랜서,맞벌이자녀2,800-1200만원,울산,비운전,맞벌이자녀가구,2,Y,재산보장,자차손해,뇌혈관|재산보장
C00006,50,여성,공무원,맞벌이자녀1,800-1200만원,경기 남부,자가운전,안정형시니어,1,Y,심혈관,암진단,재산보장|치과|사망보장|입원비
C00007,26,남성,IT개발자,3세대가구,500-800만원,광주,자가운전,자영업중장년,2,Y,노후연금,자차손해,재산보장|노후연금
C00008,22,여성,전문직,3세대가구,500-800만원,부산,자가운전,맞벌이자녀가구,2,Y,노후연금,심혈관,심혈관|노후연금|입원비
C00009,68,여성,프리랜서,신혼부부,800-1200만원,대전,자가운전,사회초년생,0,N,뇌혈관,치과,어린이성장|뇌혈관
C00010,25,남성,전문직,3세대가구,300-500만원,대전,자가운전,안정형시니어,3,Y,해외여행,뇌혈관,수술비|어린이성장|입원비
C00011,43,남성,교사,편부모가정,500-800만원,경기 남부,비운전,골드에이지,1,Y,입원비,수술비,뇌혈관|입원비
C00012,69,여성,주부,맞벌이자녀2,300만원 이하,울산,자가운전,안정형시니어,2,N,재산보장,어린이성장,뇌혈관|자동차배상
C00013,31,여성,프리랜서,외벌이자녀2,800-1200만원,경기 남부,자가운전,자영업중장년,2,Y,입원비,사망보장,자차손해|자동차배상|치과
C00014,33,남성,주부,맞벌이자녀2,800-1200만원,인천,자가운전,사회초년생,2,Y,암진단,자녀상해,치과|재산보장
C00015,32,남성,전문직,편부모가정,1200만원 이상,서울 강북,자가운전,안정형시니어,1,N,자차손해,자녀상해,재산보장|자녀상해
C00016,58,남성,학생,편부모가정,300만원 이하,서울 강남,자가운전,1인가구청년,1,N,심혈관,암진단,암진단|치과|자차손해
C00017,27,남성,은퇴자,3세대가구,1200만원 이상,제주,자가운전,골드에이지,3,Y,해외여행,치과,재산보장|심혈관|자차손해
C00018,49,여성,사무직,신혼부부,1200만원 이상,부산,자가운전,자영업중장년,0,Y,수술비,치과,자녀상해|자차손해|어린이성장
