연월,보험사,상품카테고리,연령대,성별,가입건수,청구건수,경과보험료_원,청구금액_원,손해율(%)
2023-07,한빛생명,자동차,20대,남성,3466,720,220947102,143812203,65.1
2023-07,한빛생명,자동차,20대,여성,502,85,26098478,16298701,62.5
2023-07,한빛생명,자동차,30대,남성,3858,362,286768998,371625331,129.6
2023-07,한빛생명,자동차,30대,여성,1156,246,92103144,72767897,79.0
2023-07,한빛생명,자동차,40대,남성,2003,110,147819397,114886691,77.7
2023-07,한빛생명,자동차,40대,여성,1053,209,89461827,70161718,78.4
2023-07,한빛생명,자동차,50대,남성,3788,800,100143356,65133279,65.0
2023-07,한빛생명,자동차,50대,여성,3367,580,190373547,182790310,96.0
2023-07,한빛생명,자동차,60대이상,남성,2462,154,84089610,80489536,95.7
2023-07,한빛생명,자동차,60대이상,여성,4235,641,174083910,232966108,133.8
2023-08,한빛생명,자동차,20대,남성,3327,683,282013155,195834102,69.4
2023-08,한빛생명,자동차,20대,여성,3010,617,117967920,116271036,98.6
2023-08,한빛생명,자동차,30대,남성,2846,521,82895442,59822806,72.2
2023-08,한빛생명,자동차,30대,여성,2464,537,133578368,80561744,60.3
2023-08,한빛생명,자동차,40대,남성,3798,677,314519976,204467061,65.0
2023-08,한빛생명,자동차,40대,여성,604,92,27105104,21032098,77.6
2023-08,한빛생명,자동차,50대,남성,1373,160,37515852,31492638,83.9
2023-08,한빛생명,자동차,50대,여성,2725,249,235301025,156086655,66.3
2023-08,한빛생명,자동차,60대이상,남성,2661,152,72336624,46501565,64.3
2023-08,한빛생명,자동차,60대이상,여성,1047,97,55353843,39492880,71.3
2023-09,한빛생명,자동차,20대,남성,1302,108,81039084,49706826,61.3
2023-09,한빛생명,자동차,20대,여성,1076,135,93403256,67140416,71.9
2023-09,한빛생명,자동차,30대,남성,1452,148,66217008,59475633,89.8
2023-09,한빛생명,자동차,30대,여성,4451,455,277978303,248079674,89.2
2023-09,한빛생명,자동차,40대,남성,434,42,14220010,12855347,90.4
2023-09,한빛생명,자동차,40대,여성,940,193,56312580,38804183,68.9
2023-09,한빛생명,자동차,50대,남성,4233,881,120458481,110205234,91.5
2023-09,한빛생명,자동차,50대,여성,947,108,70053378,51238945,73.1
2023-09,한빛생명,자동차,60대이상,남성,809,59,22989353,22560655,98.1
2023-09,한빛생명,자동차,60대이상,여성,667,75,42863421,32510343,75.8
2023-10,한빛생명,자동차,20대,남성,2543,149,90492655,61081174,67.5
2023-10,한빛생명,자동차,20대,여성,4414,763,385430480,270315265,70.1
2023-10,한빛생명,자동차,30대,남성,1345,247,65076480,40194899,61.8
2023-10,한빛생명,자동차,30대,여성,1448,269,51606720,42577118,82.5
2023-10,한빛생명,자동차,40대,남성,4200,868,249900000,208253557,83.3
2023-10,한빛생명,자동차,40대,여성,3224,384,209514864,203265730,97.0
2023-10,한빛생명,자동차,50대,남성,1281,182,56189784,44818047,79.8
2023-10,한빛생명,자동차,50대,여성,3120,551,126122880,121745836,96.5
2023-10,한빛생명,자동차,60대이상,남성,3943,414,199038697,135064232,67.9
2023-10,한빛생명,자동차,60대이상,여성,2391,506,173139483,163886350,94.7
2023-11,한빛생명,자동차,20대,남성,4496,505,329885008,311466546,94.4
2023-11,한빛생명,자동차,20대,여성,2007,108,139807620,112216198,80.3
2023-11,한빛생명,자동차,30대,남성,1830,109,153416220,132195373,86.2
2023-11,한빛생명,자동차,30대,여성,2468,404,161752720,207060036,128.0
2023-11,한빛생명,자동차,40대,남성,3704,422,140070464,90885275,64.9
2023-11,한빛생명,자동차,40대,여성,3771,508,296973792,228987149,77.1
2023-11,한빛생명,자동차,50대,남성,1293,88,41333331,25944540,62.8
2023-11,한빛생명,자동차,50대,여성,475,74,23250775,17668716,76.0
2023-11,한빛생명,자동차,60대이상,남성,1795,146,110713805,93372460,84.3
2023-11,한빛생명,자동차,60대이상,여성,702,59,52355160,33085398,63.2
2023-12,한빛생명,자동차,20대,남성,1743,291,139677048,130593487,93.5
2023-12,한빛생명,자동차,20대,여성,1440,236,61047360,39091685,64.0
2023-12,한빛생명,자동차,30대,남성,3070,229,275550920,212253418,77.0
2023-12,한빛생명,자동차,30대,여성,2835,609,230162310,163965890,71.2
2023-12,한빛생명,자동차,40대,남성,3928,564,350189056,299641919,85.6
2023-12,한빛생명,자동차,40대,여성,3621,765,99704235,63867587,64.1
2023-12,한빛생명,자동차,50대,남성,2050,438,156369900,138682516,88.7
2023-12,한빛생명,자동차,50대,여성,1096,142,77533232,54981374,70.9
2023-12,한빛생명,자동차,60대이상,남성,2275,260,174472025,146638861,84.0
2023-12,한빛생명,자동차,60대이상,여성,3845,642,324956330,283004764,87.1
2024-01,한빛생명,자동차,20대,남성,3904,834,227548544,182767936,80.3
2024-01,한빛생명,자동차,20대,여성,920,51,42876600,30760546,71.7
2024-01,한빛생명,자동차,30대,남성,1452,163,98711316,78012696,79.0
2024-01,한빛생명,자동차,30대,여성,2516,399,128373868,104847498,81.7
2024-01,한빛생명,자동차,40대,남성,1845,178,52235640,47195602,90.4
2024-01,한빛생명,자동차,40대,여성,472,95,17925616,11676413,65.1
2024-01,한빛생명,자동차,50대,남성,925,159,33558075,26448370,78.8
2024-01,한빛생명,자동차,50대,여성,4286,831,243873400,176593414,72.4
2024-01,한빛생명,자동차,60대이상,남성,468,77,23546484,20911029,88.8
2024-01,한빛생명,자동차,60대이상,여성,3928,335,156813616,134349756,85.7
2024-02,한빛생명,자동차,20대,남성,2512,347,135695728,115482452,85.1
2024-02,한빛생명,자동차,20대,여성,3009,573,187150773,174664624,93.3
